uf;ano;pessoas
Acre;2022;830018
Alagoas;2022;3127683
Amapá;2022;733759
Amazonas;2022;3941613
Bahia;2022;14141626
Ceará;2022;8794957
Distrito Federal;2022;2817381
Espírito Santo;2022;3833712
Goiás;2022;7056495
Maranhão;2022;6776699
Mato Grosso;2022;3658649
Mato Grosso do Sul;2022;2757013
Minas Gerais;2022;20539989
Pará;2022;8120131
Paraíba;2022;3974687
Paraná;2022;11444380
Pernambuco;2022;9058931
Piauí;2022;3271199
Rio de Janeiro;2022;16055174
Rio Grande do Norte;2022;3302729
Rio Grande do Sul;2022;10882965
Rondônia;2022;1581196
Roraima;2022;636707
Santa Catarina;2022;7610361
São Paulo;2022;44411238
Sergipe;2022;2210004
Tocantins;2022;1511460
