Tem Acesso ao Portal Capes,Assina outras bases de dados,Possui base de dados online que reúne a produção científica da instituição,Oferece ferramenta eletrônica para pesquisar simultaneamente em várias fontes de informação,As bibliotecas da IES oferecem serviços pela internet,Possui Catálogo Online do Acervo das Bibliotecas,pk_biblioteca
Sim,Sim,Sim,Não,Sim,Sim,1
Sim,Sim,Sim,Sim,Sim,Sim,2
Sim,Não,Sim,Não,Sim,Sim,3
Sim,Não,Sim,Sim,Sim,Sim,4
Sim,Sim,Não,Não,Sim,Sim,5
Sim,Não,Não,Não,Sim,Sim,6
Sim,Não,Não,Sim,Sim,Sim,7
Sim,Sim,Não,Sim,Sim,Sim,8
Não,Não,Não,Não,Sim,Não,9
Não,Não,Sim,Sim,Sim,Sim,10
Não,Sim,Sim,Não,Sim,Não,11
Não,Sim,Não,Sim,Sim,Sim,12
Não,Não,Não,Sim,Não,Não,13
Não,Sim,Não,Não,Sim,Sim,14
Não,Sim,Não,Não,Sim,Não,15
Não,Não,Sim,Sim,Sim,Não,16
Não,Não,Não,Não,Não,Não,17
Não,Sim,Sim,Sim,Sim,Não,18
Não,Não,Não,Sim,Sim,Sim,19
Sim,Sim,Não,Sim,Sim,Não,20
Não,Sim,Sim,Sim,Sim,Sim,21
Sim,Sim,Não,Não,Sim,Não,22
Não,Sim,Não,Sim,Sim,Não,23
Não,Não,Não,Não,Sim,Sim,24
Sim,Não,Sim,Sim,Sim,Não,25
Não,Sim,Sim,Não,Sim,Sim,26
Não,Sim,Não,Sim,Não,Sim,27
Não,Não,Sim,Sim,Não,Não,28
Sim,Sim,Sim,Sim,Sim,Não,29
Não,Sim,Não,Sim,Não,Não,30
Sim,Sim,Sim,Sim,Não,Não,31
Sim,Não,Não,Sim,Sim,Não,32
Não,Não,Não,Sim,Sim,Não,33
Não,Não,Sim,Não,Não,Não,34
Não,Não,Sim,Não,Sim,Não,35
Sim,Não,Não,Não,Sim,Não,36
Sim,Sim,Sim,Não,Sim,Não,37
Não,Não,Sim,Não,Sim,Sim,38
Não,Sim,Não,Não,Não,Sim,39
Sim,Não,Sim,Não,Sim,Não,40
Não,Sim,Não,Não,Não,Não,41
Não,Não,Não,Sim,Não,Sim,42
Não,Sim,Sim,Sim,Não,Não,43
Sim,Não,Não,Não,Não,Não,44
Não,Não,Não,Não,Não,Sim,45
Não,Sim,Sim,Não,Não,Sim,46
Sim,Sim,Não,Não,Não,Não,47
Sim,Não,Não,Sim,Não,Não,48
Sim,Não,Não,Não,Não,Sim,49
Sim,Não,Não,Sim,Não,Sim,50
Sim,Sim,Sim,Sim,Não,Sim,51
Não,Não,Sim,Sim,Não,Sim,52
Não,Sim,Sim,Sim,Não,Sim,53
Sim,Sim,Não,Sim,Não,Não,54
Sim,Sim,Sim,Não,Não,Não,55
Não,Sim,Sim,Não,Não,Não,56
Sim,Não,Sim,Sim,Não,Sim,57
Sim,Não,Sim,Não,Não,Sim,58
Não,Não,Sim,Não,Não,Sim,59
Sim,Sim,Não,Não,Não,Sim,60
Sim,Sim,Sim,Não,Não,Sim,61
Sim,Não,Sim,Não,Não,Não,62
