pk_tempo,pk_localização_geográfica,PIB da Unidade da Federação,População da Unidade da Federação
1,117,47091,1777225
1,173,47091,1777225
1,203,47091,1777225
1,212,47091,1777225
1,300,47091,1777225
1,370,47091,1777225
1,406,47091,1777225
1,420,47091,1777225
1,483,47091,1777225
1,750,47091,1777225
1,841,47091,1777225
1,875,47091,1777225
1,889,47091,1777225
1,961,47091,1777225
1,979,47091,1777225
1,1011,47091,1777225
1,1031,47091,1777225
1,1039,47091,1777225
1,1077,47091,1777225
1,1235,47091,1777225
1,142,15630,881935
1,425,15630,881935
1,4,108181,4144597
1,735,108181,4144597
1,760,108181,4144597
1,761,108181,4144597
1,762,108181,4144597
1,763,108181,4144597
1,1248,108181,4144597
1,199,14292,605761
1,33,178377,8602865
1,118,178377,8602865
1,426,178377,8602865
1,451,178377,8602865
1,452,178377,8602865
1,466,178377,8602865
1,494,178377,8602865
1,551,178377,8602865
1,566,178377,8602865
1,595,178377,8602865
1,605,178377,8602865
1,624,178377,8602865
1,635,178377,8602865
1,640,178377,8602865
1,643,178377,8602865
1,644,178377,8602865
1,665,178377,8602865
1,702,178377,8602865
1,714,178377,8602865
1,734,178377,8602865
1,744,178377,8602865
1,751,178377,8602865
1,791,178377,8602865
1,842,178377,8602865
1,1043,178377,8602865
1,1054,178377,8602865
1,1063,178377,8602865
1,1083,178377,8602865
1,1123,178377,8602865
1,1135,178377,8602865
1,1149,178377,8602865
1,1157,178377,8602865
1,1169,178377,8602865
1,1177,178377,8602865
1,1178,178377,8602865
1,1180,178377,8602865
1,1182,178377,8602865
1,1183,178377,8602865
1,1198,178377,8602865
1,1229,178377,8602865
1,1244,178377,8602865
1,1251,178377,8602865
1,1271,178377,8602865
1,210,17497,845731
1,527,17497,845731
1,895,17497,845731
1,1105,17497,845731
1,119,39356,1572866
1,190,39356,1572866
1,356,39356,1572866
1,394,39356,1572866
1,432,39356,1572866
1,480,39356,1572866
1,507,39356,1572866
1,636,39356,1572866
1,637,39356,1572866
1,641,39356,1572866
1,1073,39356,1572866
1,1074,39356,1572866
1,1095,39356,1572866
1,1179,39356,1572866
1,141,97340,7075181
1,326,97340,7075181
1,372,97340,7075181
1,409,97340,7075181
1,415,97340,7075181
1,465,97340,7075181
1,495,97340,7075181
1,509,97340,7075181
1,524,97340,7075181
1,550,97340,7075181
1,646,97340,7075181
1,649,97340,7075181
1,660,97340,7075181
1,664,97340,7075181
1,674,97340,7075181
1,681,97340,7075181
1,684,97340,7075181
1,687,97340,7075181
1,694,97340,7075181
1,717,97340,7075181
1,754,97340,7075181
1,857,97340,7075181
1,981,97340,7075181
1,1013,97340,7075181
1,1032,97340,7075181
1,1035,97340,7075181
1,1062,97340,7075181
1,1084,97340,7075181
1,1096,97340,7075181
1,1103,97340,7075181
1,1122,97340,7075181
1,1185,97340,7075181
1,1189,97340,7075181
1,1195,97340,7075181
1,1197,97340,7075181
1,1204,97340,7075181
1,1209,97340,7075181
1,1212,97340,7075181
1,1216,97340,7075181
1,1232,97340,7075181
1,1255,97340,7075181
1,5,52781,3273227
1,328,52781,3273227
1,344,52781,3273227
1,453,52781,3273227
1,462,52781,3273227
1,487,52781,3273227
1,498,52781,3273227
1,532,52781,3273227
1,569,52781,3273227
1,642,52781,3273227
1,652,52781,3273227
1,675,52781,3273227
1,676,52781,3273227
1,765,52781,3273227
1,773,52781,3273227
1,983,52781,3273227
1,993,52781,3273227
1,1055,52781,3273227
1,1059,52781,3273227
1,1080,52781,3273227
1,1085,52781,3273227
1,1109,52781,3273227
1,1137,52781,3273227
1,1181,52781,3273227
1,1190,52781,3273227
1,1206,52781,3273227
1,1207,52781,3273227
1,1261,52781,3273227
1,26,163575,9132078
1,56,163575,9132078
1,189,163575,9132078
1,289,163575,9132078
1,327,163575,9132078
1,423,163575,9132078
1,428,163575,9132078
1,431,163575,9132078
1,458,163575,9132078
1,549,163575,9132078
1,568,163575,9132078
1,597,163575,9132078
1,601,163575,9132078
1,628,163575,9132078
1,633,163575,9132078
1,639,163575,9132078
1,645,163575,9132078
1,648,163575,9132078
1,650,163575,9132078
1,677,163575,9132078
1,695,163575,9132078
1,703,163575,9132078
1,705,163575,9132078
1,710,163575,9132078
1,715,163575,9132078
1,720,163575,9132078
1,743,163575,9132078
1,747,163575,9132078
1,756,163575,9132078
1,759,163575,9132078
1,766,163575,9132078
1,768,163575,9132078
1,785,163575,9132078
1,806,163575,9132078
1,884,163575,9132078
1,952,163575,9132078
1,982,163575,9132078
1,1041,163575,9132078
1,1046,163575,9132078
1,1058,163575,9132078
1,1121,163575,9132078
1,1136,163575,9132078
1,1151,163575,9132078
1,1170,163575,9132078
1,1176,163575,9132078
1,1184,163575,9132078
1,1187,163575,9132078
1,1201,163575,9132078
1,1217,163575,9132078
1,1221,163575,9132078
1,1222,163575,9132078
1,1226,163575,9132078
1,1231,163575,9132078
1,1234,163575,9132078
1,1246,163575,9132078
1,1250,163575,9132078
1,1254,163575,9132078
1,1263,163575,9132078
1,1264,163575,9132078
1,1266,163575,9132078
1,1273,163575,9132078
1,42,71337,3506853
1,145,71337,3506853
1,442,71337,3506853
1,511,71337,3506853
1,520,71337,3506853
1,521,71337,3506853
1,589,71337,3506853
1,742,71337,3506853
1,799,71337,3506853
1,1100,71337,3506853
1,1101,71337,3506853
1,1249,71337,3506853
1,99,67986,4018127
1,143,67986,4018127
1,238,67986,4018127
1,239,67986,4018127
1,504,67986,4018127
1,698,67986,4018127
1,719,67986,4018127
1,726,67986,4018127
1,739,67986,4018127
1,831,67986,4018127
1,858,67986,4018127
1,914,67986,4018127
1,915,67986,4018127
1,1092,67986,4018127
1,1219,67986,4018127
1,1233,67986,4018127
1,1242,67986,4018127
1,1243,67986,4018127
1,11,197853,9557071
1,43,197853,9557071
1,44,197853,9557071
1,70,197853,9557071
1,72,197853,9557071
1,161,197853,9557071
1,167,197853,9557071
1,169,197853,9557071
1,170,197853,9557071
1,172,197853,9557071
1,174,197853,9557071
1,175,197853,9557071
1,176,197853,9557071
1,179,197853,9557071
1,192,197853,9557071
1,230,197853,9557071
1,232,197853,9557071
1,247,197853,9557071
1,296,197853,9557071
1,363,197853,9557071
1,369,197853,9557071
1,377,197853,9557071
1,403,197853,9557071
1,518,197853,9557071
1,540,197853,9557071
1,585,197853,9557071
1,632,197853,9557071
1,692,197853,9557071
1,716,197853,9557071
1,723,197853,9557071
1,758,197853,9557071
1,873,197853,9557071
1,910,197853,9557071
1,1004,197853,9557071
1,1010,197853,9557071
1,1214,197853,9557071
1,1238,197853,9557071
1,1262,197853,9557071
1,1269,197853,9557071
1,28,58964,3337357
1,434,58964,3337357
1,478,58964,3337357
1,496,58964,3337357
1,678,58964,3337357
1,769,58964,3337357
1,786,58964,3337357
1,1047,58964,3337357
1,1071,58964,3337357
1,3,44689,2298696
1,105,44689,2298696
1,510,44689,2298696
1,617,44689,2298696
1,685,44689,2298696
1,736,44689,2298696
1,753,44689,2298696
1,772,44689,2298696
1,1210,44689,2298696
1,1230,44689,2298696
1,23,293241,14873064
1,34,293241,14873064
1,165,293241,14873064
1,171,293241,14873064
1,244,293241,14873064
1,254,293241,14873064
1,312,293241,14873064
