"Código","Unidade Territorial","Referência","Estimativa/Contagem da População"
"11","RONDÔNIA","2019","1777225"
"12","ACRE","2019","881935"
"13","AMAZONAS","2019","4144597"
"14","RORAIMA","2019","605761"
"15","PARÁ","2019","8602865"
"16","AMAPÁ","2019","845731"
"17","TOCANTINS","2019","1572866"
"21","MARANHÃO","2019","7075181"
"22","PIAUÍ","2019","3273227"
"23","CEARÁ","2019","9132078"
"24","RIO GRANDE DO NORTE","2019","3506853"
"25","PARAÍBA","2019","4018127"
"26","PERNAMBUCO","2019","9557071"
"27","ALAGOAS","2019","3337357"
"28","SERGIPE","2019","2298696"
"29","BAHIA","2019","14873064"
"31","MINAS GERAIS","2019","21168791"
"32","ESPÍRITO SANTO","2019","4018650"
"33","RIO DE JANEIRO","2019","17264943"
"35","SÃO PAULO","2019","45919049"
"41","PARANÁ","2019","11433957"
"42","SANTA CATARINA","2019","7164788"
"43","RIO GRANDE DO SUL","2019","11377239"
"50","MATO GROSSO DO SUL","2019","2778986"
"51","MATO GROSSO","2019","3484466"
"52","GOIÁS","2019","7018354"
"53","DISTRITO FEDERAL","2019","3015268"
"11","RONDÔNIA","2020","1796460"
"12","ACRE","2020","894470"
"13","AMAZONAS","2020","4207714"
"14","RORAIMA","2020","631181"
"15","PARÁ","2020","8690745"
"16","AMAPÁ","2020","861773"
"17","TOCANTINS","2020","1590248"
"21","MARANHÃO","2020","7114598"
"22","PIAUÍ","2020","3281480"
"23","CEARÁ","2020","9187103"
"24","RIO GRANDE DO NORTE","2020","3534165"
"25","PARAÍBA","2020","4039277"
"26","PERNAMBUCO","2020","9616621"
"27","ALAGOAS","2020","3351543"
"28","SERGIPE","2020","2318822"
"29","BAHIA","2020","14930634"
"31","MINAS GERAIS","2020","21292666"
"32","ESPÍRITO SANTO","2020","4064052"
"33","RIO DE JANEIRO","2020","17366189"
"35","SÃO PAULO","2020","46289333"
"41","PARANÁ","2020","11516840"
"42","SANTA CATARINA","2020","7252502"
"43","RIO GRANDE DO SUL","2020","11422973"
"50","MATO GROSSO DO SUL","2020","2809394"
"51","MATO GROSSO","2020","3526220"
"52","GOIÁS","2020","7113540"
"53","DISTRITO FEDERAL","2020","3055149"
"11","RONDÔNIA","2021","1815278"
"12","ACRE","2021","906876"
"13","AMAZONAS","2021","4269995"
"14","RORAIMA","2021","652713"
"15","PARÁ","2021","8777124"
"16","AMAPÁ","2021","877613"
"17","TOCANTINS","2021","1607363"
"21","MARANHÃO","2021","7153262"
"22","PIAUÍ","2021","3289290"
"23","CEARÁ","2021","9240580"
"24","RIO GRANDE DO NORTE","2021","3560903"
"25","PARAÍBA","2021","4059905"
"26","PERNAMBUCO","2021","9674793"
"27","ALAGOAS","2021","3365351"
"28","SERGIPE","2021","2338474"
"29","BAHIA","2021","14985284"
"31","MINAS GERAIS","2021","21411923"
"32","ESPÍRITO SANTO","2021","4108508"
"33","RIO DE JANEIRO","2021","17463349"
"35","SÃO PAULO","2021","46649132"
"41","PARANÁ","2021","11597484"
"42","SANTA CATARINA","2021","7338473"
"43","RIO GRANDE DO SUL","2021","11466630"
"50","MATO GROSSO DO SUL","2021","2839188"
"51","MATO GROSSO","2021","3567234"
"52","GOIÁS","2021","7206589"
"53","DISTRITO FEDERAL","2021","3094325"
