uf;ano;pib
RO;2019;47091
AC;2019;15630
AM;2019;108181
RR;2019;14292
PA;2019;178377
AP;2019;17497
TO;2019;39356
MA;2019;97340
PI;2019;52781
CE;2019;163575
RN;2019;71337
PB;2019;67986
PE;2019;197853
AL;2019;58964
SE;2019;44689
BA;2019;293241
MG;2019;651873
ES;2019;137346
RJ;2019;779928
SP;2019;2348338
PR;2019;466377
SC;2019;323264
RS;2019;482464
MS;2019;106943
MT;2019;142122
GO;2019;208672
DF;2019;273614
RO;2020;51599
AC;2020;16476
AM;2020;116019
RR;2020;16024
PA;2020;215936
AP;2020;18469
TO;2020;43650
MA;2020;106916
PI;2020;56391
CE;2020;166915
RN;2020;71577
PB;2020;70292
PE;2020;193307
AL;2020;63202
SE;2020;45410
BA;2020;305321
MG;2020;682786
ES;2020;138446
RJ;2020;753824
SP;2020;2377639
PR;2020;487931
SC;2020;349275
RS;2020;470942
MS;2020;122628
MT;2020;178650
GO;2020;224126
DF;2020;265847
RO;2021;58170
AC;2021;21374
AM;2021;131531
RR;2021;18203
PA;2021;262905
AP;2021;20100
TO;2021;51781
MA;2021;124981
PI;2021;64028
CE;2021;194885
RN;2021;80181
PB;2021;77470
PE;2021;220814
AL;2021;76266
SE;2021;51861
BA;2021;352618
MG;2021;857593
ES;2021;186337
RJ;2021;949301
SP;2021;2719751
PR;2021;549973
SC;2021;428571
RS;2021;581284
MS;2021;142204
MT;2021;233390
GO;2021;269628
DF;2021;286944
RO;2022;66795
AC;2022;23676
AM;2022;145140
RR;2022;21095
PA;2022;236142
AP;2022;23614
TO;2022;58209
MA;2022;139789
PI;2022;72835
CE;2022;213601
RN;2022;93819
PB;2022;86094
PE;2022;245828
AL;2022;76066
SE;2022;57372
BA;2022;402647
MG;2022;906731
ES;2022;182549
RJ;2022;1153512
SP;2022;3130333
PR;2022;614611
SC;2022;466274
RS;2022;593634
MS;2022;166407
MT;2022;255527
GO;2022;318586
DF;2022;328790
